image_idx,category,keypoint_id,pred,gt,distance,correct_at_threshold,threshold
0,aeroplane,0,"[273.96395802497864, 65.47664403915405]","[272.8018798828125, 65.27554321289062]",0.003931167695939911,True,0.05
0,aeroplane,1,"[250.4684865474701, 85.22779941558838]","[263.5592041015625, 99.86228942871094]",0.06545016628662409,False,0.05
0,aeroplane,2,"[285.225909948349, 61.60157918930054]","[285.3263854980469, 62.32628631591797]",0.002438796960837646,True,0.05
0,aeroplane,3,"[182.52196311950684, 109.28744077682495]","[189.4390869140625, 106.78857421875]",0.0245155133796889,True,0.05
0,aeroplane,4,"[11.86708901077509, 110.0272536277771]","[10.523872375488281, 111.92742919921875]",0.007756644557778845,True,0.05
0,aeroplane,5,"[40.08501470088959, 98.18081259727478]","[39.524478912353516, 96.84600067138672]",0.004825767927056621,True,0.05
0,aeroplane,6,"[60.71734428405762, 114.72136974334717]","[34.50128173828125, 114.60857391357422]",0.08738768399769391,False,0.05
0,aeroplane,7,"[163.34567070007324, 101.2262225151062]","[156.39759826660156, 116.28428649902344]",0.05527919052757099,False,0.05
0,aeroplane,8,"[163.81083726882935, 115.17510414123535]","[205.6249542236328, 95.6729965209961]",0.15379468919964467,False,0.05
0,aeroplane,9,"[242.47389435768127, 95.83977460861206]","[244.80592346191406, 95.00271606445312]",0.008259019816296643,True,0.05
0,aeroplane,10,"[247.8947639465332, 85.79362630844116]","[231.4107208251953, 86.12142944335938]",0.05495767386729832,False,0.05
0,aeroplane,0,"[273.96395802497864, 65.47664403915405]","[272.8018798828125, 65.27554321289062]",0.003931167695939911,True,0.1
0,aeroplane,1,"[250.4684865474701, 85.22779941558838]","[263.5592041015625, 99.86228942871094]",0.06545016628662409,True,0.1
0,aeroplane,2,"[285.225909948349, 61.60157918930054]","[285.3263854980469, 62.32628631591797]",0.002438796960837646,True,0.1
0,aeroplane,3,"[182.52196311950684, 109.28744077682495]","[189.4390869140625, 106.78857421875]",0.0245155133796889,True,0.1
0,aeroplane,4,"[11.86708901077509, 110.0272536277771]","[10.523872375488281, 111.92742919921875]",0.007756644557778845,True,0.1
0,aeroplane,5,"[40.08501470088959, 98.18081259727478]","[39.524478912353516, 96.84600067138672]",0.004825767927056621,True,0.1
0,aeroplane,6,"[60.71734428405762, 114.72136974334717]","[34.50128173828125, 114.60857391357422]",0.08738768399769391,True,0.1
0,aeroplane,7,"[163.34567070007324, 101.2262225151062]","[156.39759826660156, 116.28428649902344]",0.05527919052757099,True,0.1
0,aeroplane,8,"[163.81083726882935, 115.17510414123535]","[205.6249542236328, 95.6729965209961]",0.15379468919964467,False,0.1
0,aeroplane,9,"[242.47389435768127, 95.83977460861206]","[244.80592346191406, 95.00271606445312]",0.008259019816296643,True,0.1
0,aeroplane,10,"[247.8947639465332, 85.79362630844116]","[231.4107208251953, 86.12142944335938]",0.05495767386729832,True,0.1
0,aeroplane,0,"[273.96395802497864, 65.47664403915405]","[272.8018798828125, 65.27554321289062]",0.003931167695939911,True,0.2
0,aeroplane,1,"[250.4684865474701, 85.22779941558838]","[263.5592041015625, 99.86228942871094]",0.06545016628662409,True,0.2
0,aeroplane,2,"[285.225909948349, 61.60157918930054]","[285.3263854980469, 62.32628631591797]",0.002438796960837646,True,0.2
0,aeroplane,3,"[182.52196311950684, 109.28744077682495]","[189.4390869140625, 106.78857421875]",0.0245155133796889,True,0.2
0,aeroplane,4,"[11.86708901077509, 110.0272536277771]","[10.523872375488281, 111.92742919921875]",0.007756644557778845,True,0.2
0,aeroplane,5,"[40.08501470088959, 98.18081259727478]","[39.524478912353516, 96.84600067138672]",0.004825767927056621,True,0.2
0,aeroplane,6,"[60.71734428405762, 114.72136974334717]","[34.50128173828125, 114.60857391357422]",0.08738768399769391,True,0.2
0,aeroplane,7,"[163.34567070007324, 101.2262225151062]","[156.39759826660156, 116.28428649902344]",0.05527919052757099,True,0.2
0,aeroplane,8,"[163.81083726882935, 115.17510414123535]","[205.6249542236328, 95.6729965209961]",0.15379468919964467,True,0.2
0,aeroplane,9,"[242.47389435768127, 95.83977460861206]","[244.80592346191406, 95.00271606445312]",0.008259019816296643,True,0.2
0,aeroplane,10,"[247.8947639465332, 85.79362630844116]","[231.4107208251953, 86.12142944335938]",0.05495767386729832,True,0.2
1,aeroplane,0,"[257.76679515838623, 75.05692541599274]","[258.1512145996094, 75.68571472167969]",0.0024566334184466356,True,0.05
1,aeroplane,1,"[259.6949100494385, 129.7388657927513]","[249.91439819335938, 128.4857177734375]",0.03286822040364184,True,0.05
1,aeroplane,2,"[289.19126987457275, 122.68308699131012]","[293.38641357421875, 121.85713958740234]",0.014252258992369319,True,0.05
1,aeroplane,3,"[236.38599514961243, 121.995609998703]","[242.7071990966797, 108.5999984741211]",0.04937386031966604,True,0.05
