image_idx,category,keypoint_id,pred,gt,distance,correct_at_threshold,threshold
0,car(G),0,"[42.1875, 158.203125]","[38.448020935058594, 159.2107391357422]",0.0129095098124008,True,0.05
0,car(G),1,"[126.5625, 179.296875]","[128.3390655517578, 177.73373413085938]",0.007887820806274167,True,0.05
0,car(G),2,"[23.4375, 108.984375]","[24.283370971679688, 115.627197265625]",0.022321535528974302,True,0.05
0,car(G),3,"[70.3125, 108.984375]","[50.43349075317383, 108.00007629394531]",0.06634454281988345,False,0.05
0,car(G),4,"[98.4375, 108.984375]","[80.39717102050781, 98.73857879638672]",0.06915600797667401,False,0.05
0,car(G),5,"[70.3125, 144.140625]","[77.67320251464844, 146.6804656982422]",0.025955246158125337,True,0.05
0,car(G),6,"[79.6875, 179.296875]","[76.58361053466797, 179.3681182861328]",0.010349023259772534,True,0.05
0,car(G),7,"[257.8125, 172.265625]","[156.12356567382812, 154.30758666992188]",0.3442081170367242,False,0.05
0,car(G),8,"[32.8125, 137.109375]","[21.55940055847168, 134.6949920654297]",0.038363972102839365,True,0.05
0,car(G),9,"[145.3125, 116.015625]","[97.2857894897461, 127.6126708984375]",0.1646901601326361,False,0.05
0,car(G),0,"[42.1875, 158.203125]","[38.448020935058594, 159.2107391357422]",0.0129095098124008,True,0.1
0,car(G),1,"[126.5625, 179.296875]","[128.3390655517578, 177.73373413085938]",0.007887820806274167,True,0.1
0,car(G),2,"[23.4375, 108.984375]","[24.283370971679688, 115.627197265625]",0.022321535528974302,True,0.1
0,car(G),3,"[70.3125, 108.984375]","[50.43349075317383, 108.00007629394531]",0.06634454281988345,True,0.1
0,car(G),4,"[98.4375, 108.984375]","[80.39717102050781, 98.73857879638672]",0.06915600797667401,True,0.1
0,car(G),5,"[70.3125, 144.140625]","[77.67320251464844, 146.6804656982422]",0.025955246158125337,True,0.1
0,car(G),6,"[79.6875, 179.296875]","[76.58361053466797, 179.3681182861328]",0.010349023259772534,True,0.1
0,car(G),7,"[257.8125, 172.265625]","[156.12356567382812, 154.30758666992188]",0.3442081170367242,False,0.1
0,car(G),8,"[32.8125, 137.109375]","[21.55940055847168, 134.6949920654297]",0.038363972102839365,True,0.1
0,car(G),9,"[145.3125, 116.015625]","[97.2857894897461, 127.6126708984375]",0.1646901601326361,False,0.1
0,car(G),0,"[42.1875, 158.203125]","[38.448020935058594, 159.2107391357422]",0.0129095098124008,True,0.2
0,car(G),1,"[126.5625, 179.296875]","[128.3390655517578, 177.73373413085938]",0.007887820806274167,True,0.2
0,car(G),2,"[23.4375, 108.984375]","[24.283370971679688, 115.627197265625]",0.022321535528974302,True,0.2
0,car(G),3,"[70.3125, 108.984375]","[50.43349075317383, 108.00007629394531]",0.06634454281988345,True,0.2
0,car(G),4,"[98.4375, 108.984375]","[80.39717102050781, 98.73857879638672]",0.06915600797667401,True,0.2
0,car(G),5,"[70.3125, 144.140625]","[77.67320251464844, 146.6804656982422]",0.025955246158125337,True,0.2
0,car(G),6,"[79.6875, 179.296875]","[76.58361053466797, 179.3681182861328]",0.010349023259772534,True,0.2
