image_idx,category,keypoint_id,pred,gt,distance,correct_at_threshold,threshold
0,car(G),0,"[40.22347347156421, 154.33130264282227]","[38.448020935058594, 159.2107391357422]",0.017308036732436336,True,0.05
0,car(G),1,"[132.9215874543061, 178.10317890064138]","[128.3390655517578, 177.73373413085938]",0.015324633918141218,True,0.05
0,car(G),2,"[13.556609282622466, 104.88208564552102]","[24.283370971679688, 115.627197265625]",0.05060970922025836,False,0.05
0,car(G),3,"[58.770785460600976, 116.3146753568907]","[50.43349075317383, 108.00007629394531]",0.03924892647024814,True,0.05
0,car(G),4,"[142.04547469680372, 97.60196144516404]","[80.39717102050781, 98.73857879638672]",0.20552926920968106,False,0.05
0,car(G),5,"[85.24087699683936, 153.7312533404376]","[77.67320251464844, 146.6804656982422]",0.03447757780931112,True,0.05
0,car(G),6,"[62.87457878525192, 172.63504492269982]","[76.58361053466797, 179.3681182861328]",0.050910796543657086,False,0.05
0,car(G),7,"[148.0206824637748, 143.85439125267234]","[156.12356567382812, 154.30758666992188]",0.04408653242922389,True,0.05
0,car(G),8,"[28.581456880311706, 145.30046437237715]","[21.55940055847168, 134.6949920654297]",0.042398285845921625,True,0.05
0,car(G),9,"[152.35318364323794, 122.27296055974188]","[97.2857894897461, 127.6126708984375]",0.1844189194125761,False,0.05
0,car(G),0,"[40.22347347156421, 154.33130264282227]","[38.448020935058594, 159.2107391357422]",0.017308036732436336,True,0.1
0,car(G),1,"[132.9215874543061, 178.10317890064138]","[128.3390655517578, 177.73373413085938]",0.015324633918141218,True,0.1
0,car(G),2,"[13.556609282622466, 104.88208564552102]","[24.283370971679688, 115.627197265625]",0.05060970922025836,True,0.1
0,car(G),3,"[58.770785460600976, 116.3146753568907]","[50.43349075317383, 108.00007629394531]",0.03924892647024814,True,0.1
0,car(G),4,"[142.04547469680372, 97.60196144516404]","[80.39717102050781, 98.73857879638672]",0.20552926920968106,False,0.1
0,car(G),5,"[85.24087699683936, 153.7312533404376]","[77.67320251464844, 146.6804656982422]",0.03447757780931112,True,0.1
0,car(G),6,"[62.87457878525192, 172.63504492269982]","[76.58361053466797, 179.3681182861328]",0.050910796543657086,True,0.1
0,car(G),7,"[148.0206824637748, 143.85439125267234]","[156.12356567382812, 154.30758666992188]",0.04408653242922389,True,0.1
0,car(G),8,"[28.581456880311706, 145.30046437237715]","[21.55940055847168, 134.6949920654297]",0.042398285845921625,True,0.1
0,car(G),9,"[152.35318364323794, 122.27296055974188]","[97.2857894897461, 127.6126708984375]",0.1844189194125761,False,0.1
0,car(G),0,"[40.22347347156421, 154.33130264282227]","[38.448020935058594, 159.2107391357422]",0.017308036732436336,True,0.2
0,car(G),1,"[132.9215874543061, 178.10317890064138]","[128.3390655517578, 177.73373413085938]",0.015324633918141218,True,0.2
0,car(G),2,"[13.556609282622466, 104.88208564552102]","[24.283370971679688, 115.627197265625]",0.05060970922025836,True,0.2
0,car(G),3,"[58.770785460600976, 116.3146753568907]","[50.43349075317383, 108.00007629394531]",0.03924892647024814,True,0.2
0,car(G),4,"[142.04547469680372, 97.60196144516404]","[80.39717102050781, 98.73857879638672]",0.20552926920968106,False,0.2
0,car(G),5,"[85.24087699683936, 153.7312533404376]","[77.67320251464844, 146.6804656982422]",0.03447757780931112,True,0.2
0,car(G),6,"[62.87457878525192, 172.63504492269982]","[76.58361053466797, 179.3681182861328]",0.050910796543657086,True,0.2
0,car(G),7,"[148.0206824637748, 143.85439125267234]","[156.12356567382812, 154.30758666992188]",0.04408653242922389,True,0.2
0,car(G),8,"[28.581456880311706, 145.30046437237715]","[21.55940055847168, 134.6949920654297]",0.042398285845921625,True,0.2
0,car(G),9,"[152.35318364323794, 122.27296055974188]","[97.2857894897461, 127.6126708984375]",0.1844189194125761,True,0.2
1,car(G),0,"[26.796062572582347, 162.45376999313768]","[24.22058868408203, 167.35845947265625]",0.018465897890389747,True,0.05
1,car(G),1,"[116.80766440726615, 175.56378132588154]","[117.125, 173.22610473632812]",0.007863723825094156,True,0.05
1,car(G),2,"[263.31016437427417, 100.10802810256546]","[14.441176414489746, 143.39889526367188]",0.8420205351658453,False,0.05
1,car(G),3,"[20.03404836396913, 137.80635112040753]","[24.22058868408203, 128.7297821044922]",0.033318534206888746,True,0.05
1,car(G),4,"[111.37316678021405, 110.67890476536107]","[67.73896789550781, 109.17095947265625]",0.1455341583163321,False,0.05
1,car(G),5,"[91.22960889661634, 153.5754951270851]","[67.25, 146.82168579101562]",0.08304186249400966,False,0.05
1,car(G),6,"[73.1748374732765, 170.26532147381758]","[72.13970947265625, 174.20404052734375]",0.013574894212920397,True,0.05
1,car(G),7,"[136.9943618774414, 146.18511715450802]","[144.99632263183594, 145.84375]",0.026697462935860318,True,0.05
1,car(G),8,"[19.812466969361175, 147.60286485826649]","[12.485294342041016, 160.02389526367188]",0.04807048702369319,True,0.05
1,car(G),9,"[44.2928494633855, 132.16526959393477]","[102.94485473632812, 131.1746368408203]",0.195534568577438,False,0.05
1,car(G),0,"[26.796062572582347, 162.45376999313768]","[24.22058868408203, 167.35845947265625]",0.018465897890389747,True,0.1
1,car(G),1,"[116.80766440726615, 175.56378132588154]","[117.125, 173.22610473632812]",0.007863723825094156,True,0.1
1,car(G),2,"[263.31016437427417, 100.10802810256546]","[14.441176414489746, 143.39889526367188]",0.8420205351658453,False,0.1
1,car(G),3,"[20.03404836396913, 137.80635112040753]","[24.22058868408203, 128.7297821044922]",0.033318534206888746,True,0.1
1,car(G),4,"[111.37316678021405, 110.67890476536107]","[67.73896789550781, 109.17095947265625]",0.1455341583163321,False,0.1
1,car(G),5,"[91.22960889661634, 153.5754951270851]","[67.25, 146.82168579101562]",0.08304186249400966,True,0.1
1,car(G),6,"[73.1748374732765, 170.26532147381758]","[72.13970947265625, 174.20404052734375]",0.013574894212920397,True,0.1
1,car(G),7,"[136.9943618774414, 146.18511715450802]","[144.99632263183594, 145.84375]",0.026697462935860318,True,0.1
1,car(G),8,"[19.812466969361175, 147.60286485826649]","[12.485294342041016, 160.02389526367188]",0.04807048702369319,True,0.1
1,car(G),9,"[44.2928494633855, 132.16526959393477]","[102.94485473632812, 131.1746368408203]",0.195534568577438,False,0.1
1,car(G),0,"[26.796062572582347, 162.45376999313768]","[24.22058868408203, 167.35845947265625]",0.018465897890389747,True,0.2
1,car(G),1,"[116.80766440726615, 175.56378132588154]","[117.125, 173.22610473632812]",0.007863723825094156,True,0.2
1,car(G),2,"[263.31016437427417, 100.10802810256546]","[14.441176414489746, 143.39889526367188]",0.8420205351658453,False,0.2
1,car(G),3,"[20.03404836396913, 137.80635112040753]","[24.22058868408203, 128.7297821044922]",0.033318534206888746,True,0.2
1,car(G),4,"[111.37316678021405, 110.67890476536107]","[67.73896789550781, 109.17095947265625]",0.1455341583163321,True,0.2
1,car(G),5,"[91.22960889661634, 153.5754951270851]","[67.25, 146.82168579101562]",0.08304186249400966,True,0.2
1,car(G),6,"[73.1748374732765, 170.26532147381758]","[72.13970947265625, 174.20404052734375]",0.013574894212920397,True,0.2
