image_idx,category,keypoint_id,pred,gt,distance,correct_at_threshold,threshold
0,car(G),0,"[41.82946979999542, 157.8208565711975]","[38.448020935058594, 159.2107391357422]",0.012186499802562877,True,0.05
0,car(G),1,"[130.90239465236664, 177.99329459667206]","[128.3390655517578, 177.73373413085938]",0.008588123397033673,True,0.05
0,car(G),2,"[43.420037627220154, 111.79991662502289]","[24.283370971679688, 115.627197265625]",0.06505212335651414,False,0.05
0,car(G),3,"[55.31449019908905, 108.47294479608536]","[50.43349075317383, 108.00007629394531]",0.016346171896856013,True,0.05
0,car(G),4,"[116.54041707515717, 102.03790962696075]","[80.39717102050781, 98.73857879638672]",0.12097841034647933,False,0.05
0,car(G),5,"[69.21579837799072, 141.5563702583313]","[77.67320251464844, 146.6804656982422]",0.03296193744441721,True,0.05
0,car(G),6,"[80.58731853961945, 176.7447665333748]","[76.58361053466797, 179.3681182861328]",0.015955372556537235,True,0.05
0,car(G),7,"[164.50127363204956, 164.75802809000015]","[156.12356567382812, 154.30758666992188]",0.04464647759002999,True,0.05
0,car(G),8,"[33.52620005607605, 136.13282293081284]","[21.55940055847168, 134.6949920654297]",0.040176229541209044,True,0.05
0,car(G),9,"[133.96974205970764, 117.62997955083847]","[97.2857894897461, 127.6126708984375]",0.12672658682273497,False,0.05
0,car(G),0,"[41.82946979999542, 157.8208565711975]","[38.448020935058594, 159.2107391357422]",0.012186499802562877,True,0.1
0,car(G),1,"[130.90239465236664, 177.99329459667206]","[128.3390655517578, 177.73373413085938]",0.008588123397033673,True,0.1
0,car(G),2,"[43.420037627220154, 111.79991662502289]","[24.283370971679688, 115.627197265625]",0.06505212335651414,True,0.1
0,car(G),3,"[55.31449019908905, 108.47294479608536]","[50.43349075317383, 108.00007629394531]",0.016346171896856013,True,0.1
0,car(G),4,"[116.54041707515717, 102.03790962696075]","[80.39717102050781, 98.73857879638672]",0.12097841034647933,False,0.1
0,car(G),5,"[69.21579837799072, 141.5563702583313]","[77.67320251464844, 146.6804656982422]",0.03296193744441721,True,0.1
0,car(G),6,"[80.58731853961945, 176.7447665333748]","[76.58361053466797, 179.3681182861328]",0.015955372556537235,True,0.1
0,car(G),7,"[164.50127363204956, 164.75802809000015]","[156.12356567382812, 154.30758666992188]",0.04464647759002999,True,0.1
0,car(G),8,"[33.52620005607605, 136.13282293081284]","[21.55940055847168, 134.6949920654297]",0.040176229541209044,True,0.1
0,car(G),9,"[133.96974205970764, 117.62997955083847]","[97.2857894897461, 127.6126708984375]",0.12672658682273497,False,0.1
0,car(G),0,"[41.82946979999542, 157.8208565711975]","[38.448020935058594, 159.2107391357422]",0.012186499802562877,True,0.2
0,car(G),1,"[130.90239465236664, 177.99329459667206]","[128.3390655517578, 177.73373413085938]",0.008588123397033673,True,0.2
0,car(G),2,"[43.420037627220154, 111.79991662502289]","[24.283370971679688, 115.627197265625]",0.06505212335651414,True,0.2
0,car(G),3,"[55.31449019908905, 108.47294479608536]","[50.43349075317383, 108.00007629394531]",0.016346171896856013,True,0.2
0,car(G),4,"[116.54041707515717, 102.03790962696075]","[80.39717102050781, 98.73857879638672]",0.12097841034647933,True,0.2
0,car(G),5,"[69.21579837799072, 141.5563702583313]","[77.67320251464844, 146.6804656982422]",0.03296193744441721,True,0.2
0,car(G),6,"[80.58731853961945, 176.7447665333748]","[76.58361053466797, 179.3681182861328]",0.015955372556537235,True,0.2
0,car(G),7,"[164.50127363204956, 164.75802809000015]","[156.12356567382812, 154.30758666992188]",0.04464647759002999,True,0.2
0,car(G),8,"[33.52620005607605, 136.13282293081284]","[21.55940055847168, 134.6949920654297]",0.040176229541209044,True,0.2
0,car(G),9,"[133.96974205970764, 117.62997955083847]","[97.2857894897461, 127.6126708984375]",0.12672658682273497,True,0.2
1,car(G),0,"[24.58902820944786, 165.28524160385132]","[24.22058868408203, 167.35845947265625]",0.007019005956357084,True,0.05
1,car(G),1,"[116.02687239646912, 176.0875940322876]","[117.125, 173.22610473632812]",0.010216547157825833,True,0.05
1,car(G),2,"[21.781528741121292, 132.34909772872925]","[14.441176414489746, 143.39889526367188]",0.044219000169900484,True,0.05
1,car(G),3,"[32.63740763068199, 124.78786706924438]","[24.22058868408203, 128.7297821044922]",0.030980555788170813,True,0.05
1,car(G),4,"[106.8134218454361, 111.81695461273193]","[67.73896789550781, 109.17095947265625]",0.13054646860053618,False,0.05
1,car(G),5,"[72.06097841262817, 152.94326543807983]","[67.25, 146.82168579101562]",0.025952788474057416,True,0.05
1,car(G),6,"[70.81201672554016, 163.9662504196167]","[72.13970947265625, 174.20404052734375]",0.034411741265093825,True,0.05
1,car(G),7,"[151.8558382987976, 152.83262729644775]","[144.99632263183594, 145.84375]",0.03264239932802045,True,0.05
1,car(G),8,"[19.225560128688812, 152.87317037582397]","[12.485294342041016, 160.02389526367188]",0.0327556694492796,True,0.05
1,car(G),9,"[79.13737446069717, 128.3983826637268]","[102.94485473632812, 131.1746368408203]",0.07989602300840665,False,0.05
1,car(G),0,"[24.58902820944786, 165.28524160385132]","[24.22058868408203, 167.35845947265625]",0.007019005956357084,True,0.1
1,car(G),1,"[116.02687239646912, 176.0875940322876]","[117.125, 173.22610473632812]",0.010216547157825833,True,0.1
1,car(G),2,"[21.781528741121292, 132.34909772872925]","[14.441176414489746, 143.39889526367188]",0.044219000169900484,True,0.1
1,car(G),3,"[32.63740763068199, 124.78786706924438]","[24.22058868408203, 128.7297821044922]",0.030980555788170813,True,0.1
1,car(G),4,"[106.8134218454361, 111.81695461273193]","[67.73896789550781, 109.17095947265625]",0.13054646860053618,False,0.1
1,car(G),5,"[72.06097841262817, 152.94326543807983]","[67.25, 146.82168579101562]",0.025952788474057416,True,0.1
1,car(G),6,"[70.81201672554016, 163.9662504196167]","[72.13970947265625, 174.20404052734375]",0.034411741265093825,True,0.1
