image_idx,category,keypoint_id,pred,gt,distance,correct_at_threshold,threshold
0,car(G),0,"[36.486486486486484, 136.82432432432432]","[38.448020935058594, 159.2107391357422]",0.0749072897729664,False,0.05
0,car(G),1,"[117.56756756756756, 155.06756756756758]","[128.3390655517578, 177.73373413085938]",0.08365141132490111,False,0.05
0,car(G),2,"[36.486486486486484, 94.25675675675676]","[24.283370971679688, 115.627197265625]",0.08203060105234408,False,0.05
0,car(G),3,"[44.59459459459459, 94.25675675675676]","[50.43349075317383, 108.00007629394531]",0.049774105299391254,True,0.05
0,car(G),4,"[101.35135135135134, 88.17567567567568]","[80.39717102050781, 98.73857879638672]",0.07821996020305225,False,0.05
0,car(G),5,"[60.81081081081081, 118.58108108108108]","[77.67320251464844, 146.6804656982422]",0.10923550856530137,False,0.05
0,car(G),6,"[68.91891891891892, 155.06756756756758]","[76.58361053466797, 179.3681182861328]",0.08493554829595432,False,0.05
0,car(G),7,"[141.89189189189187, 142.90540540540542]","[156.12356567382812, 154.30758666992188]",0.06078653690710924,False,0.05
0,car(G),8,"[28.378378378378375, 118.58108108108108]","[21.55940055847168, 134.6949920654297]",0.05832443605670022,False,0.05
0,car(G),9,"[117.56756756756756, 100.33783783783784]","[97.2857894897461, 127.6126708984375]",0.11329739824812983,False,0.05
0,car(G),0,"[36.486486486486484, 136.82432432432432]","[38.448020935058594, 159.2107391357422]",0.0749072897729664,True,0.1
0,car(G),1,"[117.56756756756756, 155.06756756756758]","[128.3390655517578, 177.73373413085938]",0.08365141132490111,True,0.1
0,car(G),2,"[36.486486486486484, 94.25675675675676]","[24.283370971679688, 115.627197265625]",0.08203060105234408,True,0.1
0,car(G),3,"[44.59459459459459, 94.25675675675676]","[50.43349075317383, 108.00007629394531]",0.049774105299391254,True,0.1
0,car(G),4,"[101.35135135135134, 88.17567567567568]","[80.39717102050781, 98.73857879638672]",0.07821996020305225,True,0.1
0,car(G),5,"[60.81081081081081, 118.58108108108108]","[77.67320251464844, 146.6804656982422]",0.10923550856530137,False,0.1
0,car(G),6,"[68.91891891891892, 155.06756756756758]","[76.58361053466797, 179.3681182861328]",0.08493554829595432,True,0.1
0,car(G),7,"[141.89189189189187, 142.90540540540542]","[156.12356567382812, 154.30758666992188]",0.06078653690710924,True,0.1
0,car(G),8,"[28.378378378378375, 118.58108108108108]","[21.55940055847168, 134.6949920654297]",0.05832443605670022,True,0.1
0,car(G),9,"[117.56756756756756, 100.33783783783784]","[97.2857894897461, 127.6126708984375]",0.11329739824812983,False,0.1
0,car(G),0,"[36.486486486486484, 136.82432432432432]","[38.448020935058594, 159.2107391357422]",0.0749072897729664,True,0.2
0,car(G),1,"[117.56756756756756, 155.06756756756758]","[128.3390655517578, 177.73373413085938]",0.08365141132490111,True,0.2
0,car(G),2,"[36.486486486486484, 94.25675675675676]","[24.283370971679688, 115.627197265625]",0.08203060105234408,True,0.2
0,car(G),3,"[44.59459459459459, 94.25675675675676]","[50.43349075317383, 108.00007629394531]",0.049774105299391254,True,0.2
0,car(G),4,"[101.35135135135134, 88.17567567567568]","[80.39717102050781, 98.73857879638672]",0.07821996020305225,True,0.2
0,car(G),5,"[60.81081081081081, 118.58108108108108]","[77.67320251464844, 146.6804656982422]",0.10923550856530137,True,0.2
0,car(G),6,"[68.91891891891892, 155.06756756756758]","[76.58361053466797, 179.3681182861328]",0.08493554829595432,True,0.2
0,car(G),7,"[141.89189189189187, 142.90540540540542]","[156.12356567382812, 154.30758666992188]",0.06078653690710924,True,0.2
0,car(G),8,"[28.378378378378375, 118.58108108108108]","[21.55940055847168, 134.6949920654297]",0.05832443605670022,True,0.2
0,car(G),9,"[117.56756756756756, 100.33783783783784]","[97.2857894897461, 127.6126708984375]",0.11329739824812983,True,0.2
