keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
9,0.1429,182,0.4589,0.3018,14.29
8,0.15,240,0.4703,0.3316,15.0
17,0.219,210,0.3615,0.331,21.9
16,0.2721,272,0.3562,0.3328,27.21
3,0.3429,420,0.2469,0.2005,34.29
13,0.3929,56,0.1833,0.1366,39.290000000000006
6,0.4007,272,0.2274,0.2129,40.07
10,0.4103,156,0.179,0.1602,41.03
14,0.4286,56,0.1358,0.0961,42.86
15,0.4286,42,0.1171,0.0627,42.86
11,0.5238,210,0.1491,0.1638,52.38
24,0.5331,272,0.264,0.3321,53.31
18,0.5385,182,0.1723,0.1971,53.849999999999994
0,0.5584,462,0.2873,0.3441,55.84
4,0.619,210,0.0937,0.0923,61.9
20,0.6288,132,0.1378,0.1846,62.88
5,0.6417,240,0.1005,0.123,64.17
12,0.6429,56,0.1326,0.1272,64.29
7,0.6458,240,0.1358,0.1787,64.58
22,0.6601,306,0.132,0.1636,66.01
1,0.6667,342,0.1667,0.2598,66.67
19,0.6944,72,0.1,0.1063,69.44
2,0.7184,380,0.15,0.2292,71.84
23,0.8117,462,0.0986,0.1896,81.17
21,0.8333,30,0.0518,0.0371,83.33
