keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
5,0.25,12,0.3887,0.3164,25.0
1,0.3782,156,0.3881,0.3184,37.82
0,0.4064,342,0.4163,0.3461,40.64
28,0.4091,132,0.4045,0.352,40.910000000000004
16,0.4289,380,0.3584,0.3106,42.89
19,0.4298,342,0.3515,0.3184,42.980000000000004
29,0.4396,182,0.4208,0.3855,43.96
18,0.4827,462,0.3253,0.3124,48.27
26,0.5,90,0.3905,0.3929,50.0
27,0.5076,132,0.3724,0.3567,50.760000000000005
17,0.5125,240,0.3247,0.3233,51.24999999999999
2,0.5542,240,0.2393,0.2446,55.42
6,0.5833,12,0.3026,0.2763,58.330000000000005
21,0.6,110,0.184,0.1927,60.0
3,0.6099,182,0.2181,0.2428,60.99
24,0.6778,90,0.1541,0.2025,67.78
20,0.6786,56,0.1659,0.1833,67.86
23,0.6889,90,0.1698,0.1856,68.89
11,0.6923,182,0.1592,0.1935,69.23
22,0.7083,72,0.1645,0.201,70.83
15,0.7308,156,0.182,0.2064,73.08
10,0.7444,90,0.138,0.1494,74.44
12,0.7564,156,0.1379,0.1607,75.64
14,0.7571,210,0.1718,0.2467,75.71
13,0.7802,182,0.1478,0.2027,78.02
7,0.8333,6,0.1975,0.298,83.33
4,0.8864,132,0.1109,0.2122,88.64
25,0.9524,42,0.0732,0.1018,95.24000000000001
