keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
13,0.2363,182,0.3909,0.3724,23.630000000000003
10,0.2658,380,0.2823,0.2246,26.58
12,0.2794,272,0.2975,0.2512,27.939999999999998
3,0.317,306,0.1896,0.1593,31.7
2,0.3184,380,0.2296,0.1941,31.840000000000003
14,0.3241,506,0.2432,0.2423,32.41
11,0.3596,342,0.2907,0.2571,35.96
9,0.4503,342,0.2388,0.2534,45.03
15,0.4936,156,0.1386,0.1544,49.36
1,0.5476,42,0.1147,0.0983,54.76
4,0.634,306,0.1081,0.1594,63.4
8,0.7124,306,0.1835,0.3447,71.24000000000001
7,0.747,506,0.0924,0.1314,74.7
6,0.8247,462,0.1294,0.2947,82.47
5,0.8603,272,0.059,0.0762,86.03
0,0.9286,42,0.0521,0.0723,92.86
