keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
10,0.1213,272,0.2773,0.2116,12.13
16,0.1275,306,0.2676,0.2205,12.75
17,0.1536,306,0.2733,0.2312,15.36
12,0.1538,182,0.3278,0.2683,15.379999999999999
13,0.1667,156,0.3133,0.2792,16.669999999999998
11,0.183,306,0.3256,0.2574,18.3
18,0.2143,42,0.2509,0.2108,21.43
19,0.2381,42,0.2254,0.2121,23.810000000000002
2,0.2411,506,0.2278,0.3011,24.11
3,0.2468,462,0.2782,0.3695,24.68
14,0.2619,42,0.5453,0.542,26.19
15,0.3462,182,0.1564,0.2093,34.62
6,0.3667,210,0.2068,0.284,36.67
4,0.4066,182,0.1216,0.1564,40.660000000000004
9,0.413,552,0.1145,0.1463,41.3
7,0.4396,182,0.1595,0.2185,43.96
5,0.4417,240,0.1036,0.1275,44.17
8,0.4502,462,0.1914,0.2562,45.019999999999996
0,0.4667,30,0.0553,0.0477,46.67
1,0.5476,42,0.0799,0.0725,54.76
