keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
10,0.0882,272,0.2798,0.2352,8.82
9,0.0882,272,0.2609,0.2072,8.82
3,0.1211,380,0.2706,0.2298,12.11
2,0.1299,462,0.2935,0.2847,12.989999999999998
8,0.1728,272,0.2235,0.1499,17.28
4,0.1901,342,0.2102,0.1954,19.009999999999998
6,0.2121,132,0.2713,0.299,21.21
0,0.2342,380,0.2982,0.2455,23.419999999999998
5,0.2619,210,0.2005,0.2243,26.19
1,0.2648,506,0.2681,0.2443,26.479999999999997
7,0.2727,132,0.2352,0.272,27.27
13,0.3893,506,0.1459,0.1452,38.93
