keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
13,0.2051,156,0.1087,0.0729,20.51
15,0.2364,110,0.117,0.1086,23.64
11,0.2875,240,0.1279,0.1116,28.749999999999996
12,0.3077,156,0.1129,0.093,30.769999999999996
3,0.325,600,0.292,0.3797,32.5
16,0.3658,380,0.2101,0.273,36.58
14,0.4583,240,0.0903,0.0839,45.83
9,0.4632,272,0.0807,0.0622,46.32
10,0.4667,240,0.1105,0.1262,46.67
0,0.5798,702,0.0533,0.0492,57.98
6,0.6,600,0.0697,0.1104,60.0
4,0.6154,182,0.0538,0.0699,61.53999999999999
5,0.6515,132,0.0457,0.036,65.14999999999999
8,0.6731,156,0.0432,0.0352,67.31
7,0.7527,182,0.0369,0.0274,75.27000000000001
