keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
6,0.3132,182,0.4169,0.2917,31.319999999999997
2,0.3538,342,0.3253,0.2308,35.38
11,0.3846,156,0.436,0.3705,38.46
3,0.3875,240,0.283,0.1988,38.75
5,0.3922,306,0.4292,0.3587,39.22
0,0.4017,600,0.4433,0.3713,40.17
1,0.4123,342,0.3068,0.2616,41.23
8,0.4318,132,0.2387,0.1687,43.18
10,0.4333,90,0.2649,0.2575,43.33
4,0.4875,240,0.2579,0.1731,48.75
13,0.4892,462,0.3622,0.3581,48.92
12,0.5,72,0.3058,0.2967,50.0
7,0.6515,132,0.2202,0.2959,65.14999999999999
9,0.7111,90,0.1574,0.122,71.11
