keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
26,0.2692,182,0.3242,0.2667,26.919999999999998
28,0.2803,132,0.2432,0.1902,28.03
9,0.3333,12,0.2835,0.2804,33.33
29,0.3407,182,0.198,0.1689,34.07
2,0.3409,132,0.3716,0.3226,34.089999999999996
7,0.3444,90,0.363,0.333,34.44
21,0.3727,110,0.3223,0.2728,37.269999999999996
17,0.3846,156,0.2894,0.27,38.46
6,0.4015,132,0.3341,0.3322,40.150000000000006
27,0.4103,156,0.2775,0.2618,41.03
24,0.4167,132,0.317,0.3147,41.67
16,0.4286,210,0.2965,0.287,42.86
19,0.4429,210,0.2199,0.2149,44.29
18,0.4571,210,0.1894,0.1771,45.71
14,0.4619,210,0.2939,0.2935,46.19
25,0.4762,42,0.2399,0.2745,47.620000000000005
4,0.5,42,0.2037,0.2194,50.0
20,0.5,72,0.2804,0.2857,50.0
11,0.5385,182,0.2526,0.2784,53.849999999999994
0,0.5385,182,0.2896,0.3155,53.849999999999994
1,0.5455,132,0.26,0.2951,54.55
3,0.6364,110,0.2109,0.2678,63.63999999999999
22,0.6389,72,0.1519,0.1918,63.89
8,0.6786,56,0.1601,0.2439,67.86
10,0.7182,110,0.1621,0.2563,71.82
15,0.7321,56,0.2162,0.3287,73.21
5,0.7381,42,0.094,0.0981,73.81
13,0.7636,110,0.0986,0.1467,76.36
12,0.8056,72,0.0797,0.1263,80.56
23,0.875,56,0.0694,0.0845,87.5
