keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
17,0.0833,72,0.2361,0.1844,8.33
19,0.125,56,0.3001,0.3036,12.5
11,0.1667,156,0.2787,0.271,16.669999999999998
14,0.1857,210,0.2384,0.2453,18.57
20,0.1889,90,0.2649,0.2471,18.89
12,0.2436,156,0.2663,0.2533,24.36
2,0.2554,462,0.1989,0.2084,25.540000000000003
3,0.2711,380,0.2119,0.2271,27.11
18,0.3,110,0.162,0.1586,30.0
16,0.317,306,0.1248,0.1307,31.7
10,0.3304,342,0.1539,0.1589,33.040000000000006
9,0.3562,306,0.1403,0.1372,35.620000000000005
15,0.3693,306,0.1068,0.098,36.93
1,0.4524,210,0.1033,0.1099,45.24
8,0.4978,462,0.0877,0.1307,49.78
5,0.5294,306,0.0812,0.1099,52.94
4,0.5381,420,0.0731,0.0762,53.81
7,0.6345,342,0.0536,0.0629,63.449999999999996
13,0.6667,6,0.2354,0.3194,66.67
0,0.675,240,0.0659,0.0833,67.5
6,0.7238,420,0.0436,0.0466,72.38
