keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
18,0.2143,42,0.4538,0.3299,21.43
19,0.3333,42,0.5299,0.4656,33.33
16,0.3571,42,0.4175,0.341,35.709999999999994
17,0.4107,56,0.3937,0.3724,41.07
13,0.5143,210,0.2358,0.2144,51.43
12,0.5458,240,0.2413,0.2258,54.58
10,0.5714,210,0.2487,0.275,57.14
15,0.5769,182,0.2642,0.3005,57.69
14,0.5909,132,0.2721,0.344,59.089999999999996
11,0.6208,240,0.2149,0.2291,62.08
8,0.6286,210,0.223,0.2584,62.86000000000001
9,0.6711,380,0.2738,0.3896,67.11
7,0.8714,420,0.1064,0.1956,87.14
6,0.883,342,0.1313,0.2464,88.3
5,0.8874,462,0.1154,0.232,88.74
4,0.8976,420,0.0941,0.1618,89.75999999999999
2,0.9,90,0.104,0.1315,90.0
3,0.9333,210,0.0615,0.0632,93.33
1,0.9476,210,0.0731,0.1768,94.76
0,0.9744,156,0.0615,0.0762,97.44
