keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
10,0.0778,90,0.4628,0.5854,7.779999999999999
20,0.1,20,0.4318,0.4277,10.0
2,0.1048,420,0.4057,0.4494,10.48
17,0.1091,110,0.3684,0.4224,10.91
18,0.1136,132,0.3343,0.4089,11.360000000000001
12,0.1222,90,0.3985,0.4205,12.22
19,0.1333,30,0.4629,0.4621,13.33
14,0.1444,90,0.289,0.2642,14.44
16,0.1603,156,0.2217,0.3351,16.03
15,0.1667,156,0.1818,0.1781,16.669999999999998
13,0.2,20,0.4601,0.3612,20.0
3,0.2368,380,0.3829,0.4883,23.68
11,0.2381,42,0.4839,0.5952,23.810000000000002
9,0.2636,110,0.3671,0.4792,26.36
6,0.2842,380,0.2341,0.3583,28.42
7,0.3596,342,0.2286,0.4254,35.96
1,0.3636,132,0.1714,0.2169,36.36
0,0.3818,110,0.1129,0.1235,38.18
4,0.4183,306,0.1474,0.2456,41.83
5,0.4269,342,0.1303,0.2056,42.69
8,0.4415,342,0.2285,0.3854,44.15
