keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
4,0.5515,272,0.3009,0.3499,55.15
5,0.5962,156,0.2921,0.3535,59.62
0,0.6439,702,0.1805,0.2029,64.39
1,0.6624,702,0.1977,0.199,66.24
10,0.7011,552,0.1379,0.1665,70.11
3,0.7094,702,0.1831,0.1893,70.94
2,0.7123,702,0.1628,0.1801,71.23
16,0.7165,702,0.1444,0.1537,71.65
8,0.73,600,0.1242,0.1486,73.0
7,0.7348,132,0.1522,0.2069,73.48
6,0.7637,182,0.1307,0.134,76.37
14,0.7778,306,0.1185,0.105,77.78
17,0.7949,702,0.1375,0.1514,79.49000000000001
11,0.8439,506,0.1077,0.1397,84.39
12,0.8474,380,0.1036,0.1046,84.74000000000001
9,0.8483,600,0.1136,0.1628,84.83000000000001
15,0.8801,342,0.1062,0.1041,88.01
13,0.8857,420,0.1017,0.0936,88.57000000000001
