keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
3,0.2984,506,0.3613,0.4599,29.84
1,0.369,420,0.2629,0.289,36.9
7,0.3842,380,0.2327,0.2861,38.42
11,0.4022,552,0.2468,0.2993,40.22
9,0.4328,506,0.2151,0.25,43.28
4,0.4605,506,0.2759,0.4157,46.050000000000004
5,0.4684,506,0.205,0.252,46.839999999999996
15,0.4711,380,0.1519,0.1652,47.11
2,0.4766,342,0.3669,0.4328,47.660000000000004
13,0.4928,552,0.1815,0.2594,49.28
0,0.5342,380,0.2447,0.3433,53.42
6,0.5563,462,0.2444,0.329,55.63
12,0.7391,552,0.1492,0.313,73.91
8,0.8476,420,0.0954,0.1884,84.76
14,0.8528,462,0.099,0.1903,85.28
10,0.8786,420,0.0991,0.211,87.86
