category,pck@0.05,pck@0.10,pck@0.20,sensitivity
bus,23.427371315912602,33.67530427849664,43.66776585469497,20.24039453878237
car,23.62026616015978,35.21510798106543,45.720101411590775,22.099835251430996
boat,14.70910776466332,24.86879889657667,37.45749106860218,22.74838330393886
chair,17.428184990104494,29.60982558892776,43.693173441625454,26.26498845152096
aeroplane,37.00282116254993,51.22304738368475,64.72299044613624,27.72016928358631
cat,52.254575517075516,66.12810106560107,80.1378538128538,27.88327829577829
bottle,31.0065225323846,45.968755701514326,60.448686371100166,29.442163838715565
bicycle,18.888494838494836,33.619469419469425,49.096703296703296,30.20820845820846
sheep,25.122683258646227,39.67385468348881,57.59371974489799,32.47103648625176
motorbike,20.04177406955185,35.60546963324741,52.80643738977072,32.76466332021887
dog,31.627772227772226,48.536987086987075,66.4897583897584,34.86198616198618
horse,27.459813797313792,44.781152643652646,62.61826923076923,35.15845543345544
tvmonitor,29.809456158805865,49.4038331610586,66.75067386050046,36.94121770169459
person,34.022113783652244,55.43947163947165,71.62362551977937,37.60151173612712
train,34.77768722312373,53.45511869817425,72.68381108162855,37.90612385850482
cow,37.5794091818001,59.13096585861679,75.51002715612454,37.930617974324434
bird,46.92965668393019,70.00505667172334,86.08272820879658,39.15307152486639
pottedplant,20.143032077486833,39.512899127168275,59.97385187640408,39.83081979891725
